drug_id,drug_name,condition,reason,source
drug_002852,Zenatane,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002852,Zenatane,pregnancy,Pregnancy category X,drugs_com
drug_002853,Zenzedi,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002855,Zestoretic,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002855,Zestoretic,pregnancy,Pregnancy category D,drugs_com
drug_002856,Zestril,pregnancy,Pregnancy category D,drugs_com
drug_002859,Ziac,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002860,Ziagen,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002863,Ziconotide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002868,Ziprasidone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002869,Zipsor,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002869,Zipsor,pregnancy,Pregnancy category D,drugs_com
drug_002873,Zocor,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002873,Zocor,pregnancy,Pregnancy category X,drugs_com
drug_002875,Zodryl Dac,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002876,Zoledronic Acid,pregnancy,Pregnancy category D,drugs_com
drug_002877,Zolmitriptan,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002878,Zoloft,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002879,Zolpidem,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002880,Zolpimist,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002881,Zometa,pregnancy,Pregnancy category D,drugs_com
drug_002882,Zomig,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002883,Zomig Nasal Spray,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002884,Zomig Zmt,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002885,Zonalon,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002886,Zonegran,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002887,Zonisade,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002888,Zonisamide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002890,Zorvolex,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002890,Zorvolex,pregnancy,Pregnancy category D,drugs_com
drug_002898,Ztalmy,concurrent alcohol use,Alcohol interaction flag,drugs_com
